                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1541,                0.59718,                 1.0753,                0.96406,                0.97689,                0.99046,                0.66732,                  1.153,                0.56116,                 1.0997,               0.006535,               0.006535,               0.006535
                     37,                 1.1507,                0.58636,                  1.087,                0.95904,                0.96289,                0.98216,                0.65263,                 1.1564,                0.57689,                 1.1015,               0.006436,               0.006436,               0.006436
                     38,                 1.1576,                0.59217,                 1.0711,                0.90081,                 0.9045,                0.94482,                0.60809,                 1.2176,                0.73439,                 1.1448,               0.006337,               0.006337,               0.006337
                     39,                 1.1673,                0.59148,                 1.1029,                0.51319,                0.58872,                  0.613,                0.28868,                 1.9033,                 1.7103,                 1.7588,               0.006238,               0.006238,               0.006238
                     40,                  1.151,                0.58112,                 1.0828,                0.92255,                0.85552,                0.93546,                0.56467,                 1.3145,                0.75218,                 1.1913,               0.006139,               0.006139,               0.006139
                     41,                 1.1261,                0.57192,                 1.0667,                0.93293,                0.96608,                0.98226,                0.66536,                 1.1221,                0.55964,                 1.0721,                0.00604,                0.00604,                0.00604
                     42,                 1.1425,                0.59274,                 1.0734,                 0.9081,                0.94739,                0.97165,                 0.6264,                 1.2133,                0.62199,                 1.1459,               0.005941,               0.005941,               0.005941
                     43,                 1.1489,                0.58034,                 1.0739,                0.96391,                0.95961,                0.98299,                0.66933,                 1.1176,                0.57753,                 1.0858,               0.005842,               0.005842,               0.005842
                     44,                 1.1464,                0.57292,                  1.077,                0.96712,                0.98063,                0.98686,                0.67362,                 1.1204,                 0.5477,                 1.0682,               0.005743,               0.005743,               0.005743
                     45,                 1.1175,                0.55634,                 1.0555,                 0.9818,                0.98086,                0.98854,                0.67983,                 1.1096,                0.53916,                 1.0622,               0.005644,               0.005644,               0.005644
                     46,                 1.1058,                0.55211,                 1.0646,                0.97227,                0.97683,                0.98684,                0.67746,                 1.1118,                 0.5288,                 1.0655,               0.005545,               0.005545,               0.005545
                     47,                 1.1047,                0.54628,                 1.0497,                0.97983,                0.98108,                0.98942,                0.67402,                 1.1026,                0.53448,                 1.0737,               0.005446,               0.005446,               0.005446
                     48,                 1.1129,                 0.5478,                 1.0548,                0.95115,                 0.9576,                0.97477,                0.66237,                 1.1291,                0.54608,                 1.0809,               0.005347,               0.005347,               0.005347
                     49,                 1.1239,                0.54482,                 1.0585,                0.78791,                0.90759,                0.91372,                0.55329,                 1.3227,                0.78075,                 1.2474,               0.005248,               0.005248,               0.005248
                     50,                 1.1077,                0.54101,                 1.0616,                0.96737,                0.95764,                0.98517,                0.67438,                  1.116,                0.53916,                 1.0632,               0.005149,               0.005149,               0.005149
                     51,                 1.1259,                0.55702,                 1.0562,                0.97628,                0.97653,                0.98779,                0.67578,                 1.1131,                0.51559,                  1.066,                0.00505,                0.00505,                0.00505
                     52,                 1.1053,                0.54138,                 1.0523,                0.95377,                 0.9791,                0.98687,                0.68266,                 1.1352,                0.52702,                  1.084,               0.004951,               0.004951,               0.004951
                     53,                 1.1109,                0.54366,                 1.0489,                0.97152,                0.97937,                0.98808,                0.68826,                 1.0945,                0.51387,                 1.0645,               0.004852,               0.004852,               0.004852
                     54,                 1.0983,                0.53539,                 1.0616,                0.97803,                0.98204,                0.98866,                0.66199,                 1.1203,                0.52568,                 1.0617,               0.004753,               0.004753,               0.004753
                     55,                  1.089,                0.53313,                 1.0425,                0.96761,                0.96715,                0.98643,                0.67432,                 1.1126,                0.52993,                 1.0785,               0.004654,               0.004654,               0.004654
                     56,                 1.1076,                0.54003,                 1.0534,                0.97408,                0.97302,                0.98823,                0.69003,                 1.1043,                0.51071,                 1.0593,               0.004555,               0.004555,               0.004555
                     57,                  1.122,                0.54549,                 1.0549,                0.97831,                0.98228,                0.98958,                0.68831,                 1.0856,                0.49383,                 1.0474,               0.004456,               0.004456,               0.004456
                     58,                 1.1044,                0.53129,                  1.054,                0.93588,                0.95397,                0.97741,                0.66034,                 1.1262,                0.58269,                 1.0772,               0.004357,               0.004357,               0.004357
                     59,                 1.0894,                0.51746,                 1.0422,                0.61501,                0.40058,                0.47113,                0.27016,                 1.8304,                 1.8926,                 1.8572,               0.004258,               0.004258,               0.004258
                     60,                 1.0914,                0.52077,                  1.051,                0.97876,                0.97573,                0.99005,                0.68018,                 1.0871,                0.50076,                 1.0575,               0.004159,               0.004159,               0.004159
                     61,                 1.0984,                0.52444,                 1.0516,                0.97721,                0.98612,                 0.9901,                0.68831,                  1.097,                0.49538,                 1.0587,                0.00406,                0.00406,                0.00406
                     62,                 1.1041,                0.53571,                  1.051,                0.98058,                0.98066,                 0.9868,                0.68199,                 1.0946,                0.50555,                 1.0598,               0.003961,               0.003961,               0.003961
                     63,                 1.0884,                0.52127,                 1.0562,                0.97034,                0.97162,                0.98264,                0.68252,                 1.0924,                0.50557,                 1.0631,               0.003862,               0.003862,               0.003862
                     64,                  1.068,                0.51133,                 1.0418,                0.98266,                0.98057,                0.98902,                0.69387,                 1.0982,                 0.4989,                 1.0572,               0.003763,               0.003763,               0.003763
                     65,                  1.072,                0.51379,                 1.0325,                0.98475,                0.98217,                0.99049,                0.69748,                 1.0971,                0.49688,                 1.0525,               0.003664,               0.003664,               0.003664
                     66,                 1.0542,                0.50833,                 1.0338,                0.98274,                0.98256,                0.98965,                0.70195,                 1.0765,                0.49678,                 1.0382,               0.003565,               0.003565,               0.003565
                     67,                 1.0808,                0.50397,                 1.0413,                0.97915,                0.98075,                0.98739,                0.69402,                 1.0876,                0.48633,                 1.0516,               0.003466,               0.003466,               0.003466
                     68,                 1.0567,                0.49511,                 1.0305,                 0.9752,                0.98299,                0.98951,                0.68331,                 1.1068,                0.49808,                 1.0582,               0.003367,               0.003367,               0.003367
                     69,                 1.0656,                0.50282,                 1.0271,                 0.9787,                0.98764,                0.99003,                0.69197,                  1.082,                0.48333,                 1.0494,               0.003268,               0.003268,               0.003268
